model,epsilon,index,true_label,result,time_seconds
fc2,0.02,0,7,unknown,5.505441427230835
fc2,0.02,1,2,unknown,5.051065683364868
fc2,0.02,2,1,unknown,4.752969980239868
fc2,0.02,3,0,unknown,4.700328588485718
fc2,0.02,4,4,unknown,4.812346696853638
fc2,0.02,5,1,unknown,4.873468399047852
fc2,0.02,6,4,unknown,4.7491233348846436
fc2,0.02,7,9,unknown,4.880347490310669
fc2,0.02,8,5,unknown,4.764937400817871
fc2,0.02,9,9,unknown,4.740756034851074
fc2,0.02,10,0,unknown,4.815671920776367
fc2,0.02,11,6,unknown,4.754021167755127
fc2,0.02,12,9,unknown,4.7605860233306885
fc2,0.02,13,0,unknown,4.886850357055664
fc2,0.02,14,1,unknown,4.745645999908447
fc2,0.02,15,5,unknown,4.780972003936768
fc2,0.02,16,9,unknown,4.8574299812316895
fc2,0.02,17,7,unknown,4.809483766555786
fc2,0.02,18,3,unknown,4.874491930007935
fc2,0.02,19,4,unknown,4.9902729988098145
fc2,0.02,20,9,unknown,4.778698921203613
fc2,0.02,21,6,unknown,4.809659957885742
fc2,0.02,22,6,unknown,4.7757158279418945
fc2,0.02,23,5,unknown,4.786875009536743
fc2,0.02,24,4,unknown,4.834385633468628
fc2,0.05,0,7,unknown,4.890737533569336
fc2,0.05,1,2,unknown,5.04282283782959
fc2,0.05,2,1,unknown,4.849095106124878
fc2,0.05,3,0,unknown,4.872657299041748
fc2,0.05,4,4,unknown,4.972778797149658
fc2,0.05,5,1,unknown,4.896080255508423
fc2,0.05,6,4,unknown,4.91219687461853
fc2,0.05,7,9,unknown,5.050448417663574
fc2,0.05,8,5,unknown,5.006953477859497
fc2,0.05,9,9,unknown,4.906615734100342
fc2,0.05,10,0,unknown,5.089250564575195
fc2,0.05,11,6,unknown,4.9326746463775635
fc2,0.05,12,9,unknown,4.90614914894104
fc2,0.05,13,0,unknown,4.920811653137207
fc2,0.05,14,1,unknown,4.960634708404541
fc2,0.05,15,5,unknown,4.938137769699097
fc2,0.05,16,9,unknown,5.0770649909973145
fc2,0.05,17,7,unknown,4.950145959854126
fc2,0.05,18,3,unknown,4.930408477783203
fc2,0.05,19,4,unknown,5.008569955825806
fc2,0.05,20,9,unknown,5.118168592453003
fc2,0.05,21,6,unknown,5.0860443115234375
fc2,0.05,22,6,unknown,5.02813720703125
fc2,0.05,23,5,unknown,5.024926424026489
fc2,0.05,24,4,unknown,5.049702882766724
fc4,0.02,0,7,unknown,5.0740673542022705
fc4,0.02,1,2,unknown,10.04808783531189
fc4,0.02,2,1,unknown,7.431676864624023
fc4,0.02,3,0,unknown,6.543861389160156
fc4,0.02,4,4,unknown,6.55436897277832
fc4,0.02,5,1,unknown,7.016587734222412
fc4,0.02,6,4,unknown,7.2001051902771
fc4,0.02,7,9,unknown,8.424396514892578
fc4,0.02,8,5,unknown,7.138448238372803
fc4,0.02,9,9,unknown,7.961178779602051
fc4,0.02,10,0,unknown,7.388659715652466
fc4,0.02,11,6,unknown,6.2944135665893555
fc4,0.02,12,9,unknown,6.424244403839111
fc4,0.02,13,0,unknown,6.165131568908691
fc4,0.02,14,1,unknown,6.233123540878296
fc4,0.02,15,5,unknown,6.233916282653809
fc4,0.02,16,9,unknown,6.364041328430176
fc4,0.02,17,7,unknown,6.25458288192749
fc4,0.02,18,3,unknown,6.377626895904541
fc4,0.02,19,4,unknown,6.29371452331543
fc4,0.02,20,9,unknown,6.307458877563477
fc4,0.02,21,6,unknown,6.248691558837891
fc4,0.02,22,6,unknown,6.227195739746094
fc4,0.02,23,5,unknown,6.253401279449463
fc4,0.02,24,4,unknown,6.21044659614563
fc4,0.05,0,7,unknown,6.565137147903442
fc4,0.05,1,2,unknown,6.4351537227630615
fc4,0.05,2,1,unknown,6.236932277679443
fc4,0.05,3,0,unknown,5.967069387435913
fc4,0.05,4,4,unknown,18.82214665412903
fc4,0.05,5,1,unknown,7.387066125869751
fc4,0.05,6,4,unknown,5.951980829238892
fc4,0.05,7,9,unknown,5.88535475730896
fc4,0.05,8,5,unknown,5.7158873081207275
fc4,0.05,9,9,unknown,5.612735748291016
fc4,0.05,10,0,unknown,5.608123779296875
